tipo,planta,cd,tienda,periodo,valor
COSTO_INVENTARIO_PLANTA,P3,,,3.0,0.5
COSTO_INVENTARIO_PLANTA,P3,,,4.0,0.5
COSTO_INVENTARIO_PLANTA,P3,,,5.0,0.5
COSTO_INVENTARIO_PLANTA,P3,,,6.0,0.5
COSTO_INVENTARIO_PLANTA,P3,,,7.0,0.5
COSTO_INVENTARIO_PLANTA,P4,,,1.0,1.43
COSTO_INVENTARIO_PLANTA,P4,,,2.0,1.43
COSTO_INVENTARIO_PLANTA,P4,,,3.0,1.43
COSTO_INVENTARIO_PLANTA,P4,,,4.0,1.43
COSTO_INVENTARIO_PLANTA,P4,,,5.0,1.43
COSTO_INVENTARIO_PLANTA,P4,,,6.0,1.43
COSTO_INVENTARIO_PLANTA,P4,,,7.0,1.43
COSTO_INVENTARIO_CD,,CD1,,1.0,0.63
COSTO_INVENTARIO_CD,,CD1,,2.0,0.63
COSTO_INVENTARIO_CD,,CD1,,3.0,0.63
COSTO_INVENTARIO_CD,,CD1,,4.0,0.63
COSTO_INVENTARIO_CD,,CD1,,5.0,0.63
COSTO_INVENTARIO_CD,,CD1,,6.0,0.63
COSTO_INVENTARIO_CD,,CD1,,7.0,0.63
COSTO_INVENTARIO_CD,,CD2,,1.0,0.33
COSTO_INVENTARIO_CD,,CD2,,2.0,0.33
COSTO_INVENTARIO_CD,,CD2,,3.0,0.33
COSTO_INVENTARIO_CD,,CD2,,4.0,0.33
COSTO_INVENTARIO_CD,,CD2,,5.0,0.33
COSTO_INVENTARIO_CD,,CD2,,6.0,0.33
COSTO_INVENTARIO_CD,,CD2,,7.0,0.33
COSTO_INVENTARIO_CD,,CD3,,1.0,0.61
COSTO_INVENTARIO_CD,,CD3,,2.0,0.61
COSTO_INVENTARIO_CD,,CD3,,3.0,0.61
COSTO_INVENTARIO_CD,,CD3,,4.0,0.61
COSTO_INVENTARIO_CD,,CD3,,5.0,0.61
COSTO_INVENTARIO_CD,,CD3,,6.0,0.61
COSTO_INVENTARIO_CD,,CD3,,7.0,0.61
COSTO_TRANSPORTE_PLANTA_CD,P1,CD1,,1.0,4.15
COSTO_TRANSPORTE_PLANTA_CD,P1,CD1,,2.0,2.84
COSTO_TRANSPORTE_PLANTA_CD,P1,CD1,,3.0,3.78
COSTO_TRANSPORTE_PLANTA_CD,P1,CD1,,4.0,2.8
COSTO_TRANSPORTE_PLANTA_CD,P1,CD1,,5.0,4.44
COSTO_TRANSPORTE_PLANTA_CD,P1,CD1,,6.0,2.77
COSTO_TRANSPORTE_PLANTA_CD,P1,CD1,,7.0,2.15
COSTO_TRANSPORTE_PLANTA_CD,P1,CD2,,1.0,2.47
COSTO_TRANSPORTE_PLANTA_CD,P1,CD2,,2.0,2.74
COSTO_TRANSPORTE_PLANTA_CD,P1,CD2,,3.0,2.65
COSTO_TRANSPORTE_PLANTA_CD,P1,CD2,,4.0,2.94
COSTO_TRANSPORTE_PLANTA_CD,P1,CD2,,5.0,3.48
COSTO_TRANSPORTE_PLANTA_CD,P1,CD2,,6.0,3.65
COSTO_TRANSPORTE_PLANTA_CD,P1,CD2,,7.0,3.51
COSTO_TRANSPORTE_PLANTA_CD,P1,CD3,,1.0,2.32
COSTO_TRANSPORTE_PLANTA_CD,P1,CD3,,2.0,4.32
COSTO_TRANSPORTE_PLANTA_CD,P1,CD3,,3.0,4.24
COSTO_TRANSPORTE_PLANTA_CD,P1,CD3,,4.0,1.51
COSTO_TRANSPORTE_PLANTA_CD,P1,CD3,,5.0,1.64
COSTO_TRANSPORTE_PLANTA_CD,P1,CD3,,6.0,2.58
COSTO_TRANSPORTE_PLANTA_CD,P1,CD3,,7.0,1.64
COSTO_TRANSPORTE_PLANTA_CD,P2,CD1,,1.0,3.3
COSTO_TRANSPORTE_PLANTA_CD,P2,CD1,,2.0,2.5
COSTO_TRANSPORTE_PLANTA_CD,P2,CD1,,3.0,2.01
COSTO_TRANSPORTE_PLANTA_CD,P2,CD1,,4.0,2.54
COSTO_TRANSPORTE_PLANTA_CD,P2,CD1,,5.0,4.28
COSTO_TRANSPORTE_PLANTA_CD,P2,CD1,,6.0,3.32
COSTO_TRANSPORTE_PLANTA_CD,P2,CD1,,7.0,1.77
COSTO_TRANSPORTE_PLANTA_CD,P2,CD2,,1.0,3.13
COSTO_TRANSPORTE_PLANTA_CD,P2,CD2,,2.0,3.72
COSTO_TRANSPORTE_PLANTA_CD,P2,CD2,,3.0,3.65
COSTO_TRANSPORTE_PLANTA_CD,P2,CD2,,4.0,3.1
COSTO_TRANSPORTE_PLANTA_CD,P2,CD2,,5.0,1.91
COSTO_TRANSPORTE_PLANTA_CD,P2,CD2,,6.0,4.03
COSTO_TRANSPORTE_PLANTA_CD,P2,CD2,,7.0,2.84
COSTO_TRANSPORTE_PLANTA_CD,P2,CD3,,1.0,4.01
COSTO_TRANSPORTE_PLANTA_CD,P2,CD3,,2.0,2.9
COSTO_TRANSPORTE_PLANTA_CD,P2,CD3,,3.0,1.74
COSTO_TRANSPORTE_PLANTA_CD,P2,CD3,,4.0,1.54
COSTO_TRANSPORTE_PLANTA_CD,P2,CD3,,5.0,3.28
COSTO_TRANSPORTE_PLANTA_CD,P2,CD3,,6.0,2.11
COSTO_TRANSPORTE_PLANTA_CD,P2,CD3,,7.0,3.54
COSTO_TRANSPORTE_PLANTA_CD,P3,CD1,,1.0,2.88
COSTO_TRANSPORTE_PLANTA_CD,P3,CD1,,2.0,2.79
COSTO_TRANSPORTE_PLANTA_CD,P3,CD1,,3.0,4.04
COSTO_TRANSPORTE_PLANTA_CD,P3,CD1,,4.0,3.76
COSTO_TRANSPORTE_PLANTA_CD,P3,CD1,,5.0,2.28
COSTO_TRANSPORTE_PLANTA_CD,P3,CD1,,6.0,2.97
COSTO_TRANSPORTE_PLANTA_CD,P3,CD1,,7.0,2.8
COSTO_TRANSPORTE_PLANTA_CD,P3,CD2,,1.0,4.44
COSTO_TRANSPORTE_PLANTA_CD,P3,CD2,,2.0,4.35
COSTO_TRANSPORTE_PLANTA_CD,P3,CD2,,3.0,2.94
COSTO_TRANSPORTE_PLANTA_CD,P3,CD2,,4.0,3.25
COSTO_TRANSPORTE_PLANTA_CD,P3,CD2,,5.0,4.28
COSTO_TRANSPORTE_PLANTA_CD,P3,CD2,,6.0,2.33
COSTO_TRANSPORTE_PLANTA_CD,P3,CD2,,7.0,1.8
COSTO_TRANSPORTE_PLANTA_CD,P3,CD3,,1.0,1.76
COSTO_TRANSPORTE_PLANTA_CD,P3,CD3,,2.0,2.21
COSTO_TRANSPORTE_PLANTA_CD,P3,CD3,,3.0,2.44
COSTO_TRANSPORTE_PLANTA_CD,P3,CD3,,4.0,2.29
COSTO_TRANSPORTE_PLANTA_CD,P3,CD3,,5.0,3.14
COSTO_TRANSPORTE_PLANTA_CD,P3,CD3,,6.0,3.26
COSTO_TRANSPORTE_PLANTA_CD,P3,CD3,,7.0,4.36
COSTO_TRANSPORTE_PLANTA_CD,P4,CD1,,1.0,3.56
COSTO_TRANSPORTE_PLANTA_CD,P4,CD1,,2.0,1.69
COSTO_TRANSPORTE_PLANTA_CD,P4,CD1,,3.0,2.55
COSTO_TRANSPORTE_PLANTA_CD,P4,CD1,,4.0,3.09
COSTO_TRANSPORTE_PLANTA_CD,P4,CD1,,5.0,3.22
COSTO_TRANSPORTE_PLANTA_CD,P4,CD1,,6.0,1.9
COSTO_TRANSPORTE_PLANTA_CD,P4,CD1,,7.0,3.24
COSTO_TRANSPORTE_PLANTA_CD,P4,CD2,,1.0,3.84
COSTO_TRANSPORTE_PLANTA_CD,P4,CD2,,2.0,2.04
COSTO_TRANSPORTE_PLANTA_CD,P4,CD2,,3.0,3.87
COSTO_TRANSPORTE_PLANTA_CD,P4,CD2,,4.0,4.01
COSTO_TRANSPORTE_PLANTA_CD,P4,CD2,,5.0,2.45
COSTO_TRANSPORTE_PLANTA_CD,P4,CD2,,6.0,3.39
COSTO_TRANSPORTE_PLANTA_CD,P4,CD2,,7.0,4.3
COSTO_TRANSPORTE_PLANTA_CD,P4,CD3,,1.0,3.41
COSTO_TRANSPORTE_PLANTA_CD,P4,CD3,,2.0,3.12
COSTO_TRANSPORTE_PLANTA_CD,P4,CD3,,3.0,2.4
COSTO_TRANSPORTE_PLANTA_CD,P4,CD3,,4.0,3.76
COSTO_TRANSPORTE_PLANTA_CD,P4,CD3,,5.0,3.38
COSTO_TRANSPORTE_PLANTA_CD,P4,CD3,,6.0,4.32
COSTO_TRANSPORTE_PLANTA_CD,P4,CD3,,7.0,3.42
COSTO_TRANSPORTE_CD_TIENDA,,CD1,T1,1.0,2.17
COSTO_TRANSPORTE_CD_TIENDA,,CD1,T1,2.0,0.92
COSTO_TRANSPORTE_CD_TIENDA,,CD1,T1,3.0,2.46
COSTO_TRANSPORTE_CD_TIENDA,,CD1,T1,4.0,2.05
COSTO_TRANSPORTE_CD_TIENDA,,CD1,T1,5.0,2.31
COSTO_TRANSPORTE_CD_TIENDA,,CD1,T1,6.0,2.06
COSTO_TRANSPORTE_CD_TIENDA,,CD1,T1,7.0,2.29
COSTO_TRANSPORTE_CD_TIENDA,,CD1,T2,1.0,0.83
COSTO_TRANSPORTE_CD_TIENDA,,CD1,T2,2.0,1.0
COSTO_TRANSPORTE_CD_TIENDA,,CD1,T2,3.0,2.28
COSTO_TRANSPORTE_CD_TIENDA,,CD1,T2,4.0,2.08
COSTO_TRANSPORTE_CD_TIENDA,,CD1,T2,5.0,1.82
COSTO_TRANSPORTE_CD_TIENDA,,CD1,T2,6.0,1.9
COSTO_TRANSPORTE_CD_TIENDA,,CD1,T2,7.0,2.29
COSTO_TRANSPORTE_CD_TIENDA,,CD1,T3,1.0,2.42
COSTO_TRANSPORTE_CD_TIENDA,,CD1,T3,2.0,1.05
COSTO_TRANSPORTE_CD_TIENDA,,CD1,T3,3.0,2.27
COSTO_TRANSPORTE_CD_TIENDA,,CD1,T3,4.0,1.01
COSTO_TRANSPORTE_CD_TIENDA,,CD1,T3,5.0,0.95
COSTO_TRANSPORTE_CD_TIENDA,,CD1,T3,6.0,2.02
COSTO_TRANSPORTE_CD_TIENDA,,CD1,T3,7.0,2.39
COSTO_TRANSPORTE_CD_TIENDA,,CD1,T4,1.0,2.11
COSTO_TRANSPORTE_CD_TIENDA,,CD1,T4,2.0,1.08
COSTO_TRANSPORTE_CD_TIENDA,,CD1,T4,3.0,0.83
COSTO_TRANSPORTE_CD_TIENDA,,CD1,T4,4.0,0.93
COSTO_TRANSPORTE_CD_TIENDA,,CD1,T4,5.0,2.18
COSTO_TRANSPORTE_CD_TIENDA,,CD1,T4,6.0,2.11
COSTO_TRANSPORTE_CD_TIENDA,,CD1,T4,7.0,2.48
COSTO_TRANSPORTE_CD_TIENDA,,CD1,T5,1.0,1.65
COSTO_TRANSPORTE_CD_TIENDA,,CD1,T5,2.0,1.21
COSTO_TRANSPORTE_CD_TIENDA,,CD1,T5,3.0,1.09
COSTO_TRANSPORTE_CD_TIENDA,,CD1,T5,4.0,1.34
COSTO_TRANSPORTE_CD_TIENDA,,CD1,T5,5.0,1.56
COSTO_TRANSPORTE_CD_TIENDA,,CD1,T5,6.0,0.89
COSTO_TRANSPORTE_CD_TIENDA,,CD1,T5,7.0,2.37
COSTO_TRANSPORTE_CD_TIENDA,,CD2,T1,1.0,1.49
COSTO_TRANSPORTE_CD_TIENDA,,CD2,T1,2.0,0.88
COSTO_TRANSPORTE_CD_TIENDA,,CD2,T1,3.0,0.92
COSTO_TRANSPORTE_CD_TIENDA,,CD2,T1,4.0,0.8
COSTO_TRANSPORTE_CD_TIENDA,,CD2,T1,5.0,1.32
COSTO_TRANSPORTE_CD_TIENDA,,CD2,T1,6.0,1.51
COSTO_TRANSPORTE_CD_TIENDA,,CD2,T1,7.0,2.27
COSTO_TRANSPORTE_CD_TIENDA,,CD2,T2,1.0,0.82
COSTO_TRANSPORTE_CD_TIENDA,,CD2,T2,2.0,1.91
COSTO_TRANSPORTE_CD_TIENDA,,CD2,T2,3.0,1.68
COSTO_TRANSPORTE_CD_TIENDA,,CD2,T2,4.0,1.89
COSTO_TRANSPORTE_CD_TIENDA,,CD2,T2,5.0,2.31
COSTO_TRANSPORTE_CD_TIENDA,,CD2,T2,6.0,1.88
COSTO_TRANSPORTE_CD_TIENDA,,CD2,T2,7.0,1.0
COSTO_TRANSPORTE_CD_TIENDA,,CD2,T3,1.0,1.76
COSTO_TRANSPORTE_CD_TIENDA,,CD2,T3,2.0,1.59
COSTO_TRANSPORTE_CD_TIENDA,,CD2,T3,3.0,2.46
COSTO_TRANSPORTE_CD_TIENDA,,CD2,T3,4.0,1.7
COSTO_TRANSPORTE_CD_TIENDA,,CD2,T3,5.0,0.8
COSTO_TRANSPORTE_CD_TIENDA,,CD2,T3,6.0,1.94
COSTO_TRANSPORTE_CD_TIENDA,,CD2,T3,7.0,1.78
COSTO_TRANSPORTE_CD_TIENDA,,CD2,T4,1.0,1.7
COSTO_TRANSPORTE_CD_TIENDA,,CD2,T4,2.0,1.12
COSTO_TRANSPORTE_CD_TIENDA,,CD2,T4,3.0,1.8
COSTO_TRANSPORTE_CD_TIENDA,,CD2,T4,4.0,1.5
COSTO_TRANSPORTE_CD_TIENDA,,CD2,T4,5.0,1.63
COSTO_TRANSPORTE_CD_TIENDA,,CD2,T4,6.0,1.81
COSTO_TRANSPORTE_CD_TIENDA,,CD2,T4,7.0,2.25
COSTO_TRANSPORTE_CD_TIENDA,,CD2,T5,1.0,0.82
COSTO_TRANSPORTE_CD_TIENDA,,CD2,T5,2.0,1.3
COSTO_TRANSPORTE_CD_TIENDA,,CD2,T5,3.0,1.2
COSTO_TRANSPORTE_CD_TIENDA,,CD2,T5,4.0,1.72
COSTO_TRANSPORTE_CD_TIENDA,,CD2,T5,5.0,1.15
COSTO_TRANSPORTE_CD_TIENDA,,CD2,T5,6.0,1.37
COSTO_TRANSPORTE_CD_TIENDA,,CD2,T5,7.0,1.36
COSTO_TRANSPORTE_CD_TIENDA,,CD3,T1,1.0,1.2
COSTO_TRANSPORTE_CD_TIENDA,,CD3,T1,2.0,1.15
COSTO_TRANSPORTE_CD_TIENDA,,CD3,T1,3.0,1.93
COSTO_TRANSPORTE_CD_TIENDA,,CD3,T1,4.0,2.24
COSTO_TRANSPORTE_CD_TIENDA,,CD3,T1,5.0,1.18
COSTO_TRANSPORTE_CD_TIENDA,,CD3,T1,6.0,1.77
COSTO_TRANSPORTE_CD_TIENDA,,CD3,T1,7.0,1.76
COSTO_TRANSPORTE_CD_TIENDA,,CD3,T2,1.0,2.39
COSTO_TRANSPORTE_CD_TIENDA,,CD3,T2,2.0,1.05
COSTO_TRANSPORTE_CD_TIENDA,,CD3,T2,3.0,2.21
COSTO_TRANSPORTE_CD_TIENDA,,CD3,T2,4.0,2.4
COSTO_TRANSPORTE_CD_TIENDA,,CD3,T2,5.0,2.41
COSTO_TRANSPORTE_CD_TIENDA,,CD3,T2,6.0,2.18
COSTO_TRANSPORTE_CD_TIENDA,,CD3,T2,7.0,1.1
COSTO_TRANSPORTE_CD_TIENDA,,CD3,T3,1.0,0.84
COSTO_TRANSPORTE_CD_TIENDA,,CD3,T3,2.0,2.26
COSTO_TRANSPORTE_CD_TIENDA,,CD3,T3,3.0,1.35
COSTO_TRANSPORTE_CD_TIENDA,,CD3,T3,4.0,1.65
COSTO_TRANSPORTE_CD_TIENDA,,CD3,T3,5.0,1.36
COSTO_TRANSPORTE_CD_TIENDA,,CD3,T3,6.0,1.25
COSTO_TRANSPORTE_CD_TIENDA,,CD3,T3,7.0,2.01
COSTO_TRANSPORTE_CD_TIENDA,,CD3,T4,1.0,0.83
COSTO_TRANSPORTE_CD_TIENDA,,CD3,T4,2.0,0.99
COSTO_TRANSPORTE_CD_TIENDA,,CD3,T4,3.0,1.26
COSTO_TRANSPORTE_CD_TIENDA,,CD3,T4,4.0,1.54
COSTO_TRANSPORTE_CD_TIENDA,,CD3,T4,5.0,2.16
COSTO_TRANSPORTE_CD_TIENDA,,CD3,T4,6.0,2.31
COSTO_TRANSPORTE_CD_TIENDA,,CD3,T4,7.0,1.84
COSTO_TRANSPORTE_CD_TIENDA,,CD3,T5,1.0,2.42
COSTO_TRANSPORTE_CD_TIENDA,,CD3,T5,2.0,1.27
COSTO_TRANSPORTE_CD_TIENDA,,CD3,T5,3.0,2.41
COSTO_TRANSPORTE_CD_TIENDA,,CD3,T5,4.0,1.55
COSTO_TRANSPORTE_CD_TIENDA,,CD3,T5,5.0,1.48
COSTO_TRANSPORTE_CD_TIENDA,,CD3,T5,6.0,2.09
COSTO_TRANSPORTE_CD_TIENDA,,CD3,T5,7.0,1.52
COSTO_DEMANDA_INSATISFECHA,,,T1,1.0,47.72
COSTO_DEMANDA_INSATISFECHA,,,T1,2.0,31.66
COSTO_DEMANDA_INSATISFECHA,,,T1,3.0,33.71
COSTO_DEMANDA_INSATISFECHA,,,T1,4.0,38.34
COSTO_DEMANDA_INSATISFECHA,,,T1,5.0,38.35
COSTO_DEMANDA_INSATISFECHA,,,T1,6.0,47.47
COSTO_DEMANDA_INSATISFECHA,,,T1,7.0,32.27
COSTO_DEMANDA_INSATISFECHA,,,T2,1.0,28.28
COSTO_DEMANDA_INSATISFECHA,,,T2,2.0,38.66
COSTO_DEMANDA_INSATISFECHA,,,T2,3.0,44.36
COSTO_DEMANDA_INSATISFECHA,,,T2,4.0,40.99
COSTO_DEMANDA_INSATISFECHA,,,T2,5.0,44.89
COSTO_DEMANDA_INSATISFECHA,,,T2,6.0,27.26
COSTO_DEMANDA_INSATISFECHA,,,T2,7.0,26.97
COSTO_DEMANDA_INSATISFECHA,,,T3,1.0,30.42
COSTO_DEMANDA_INSATISFECHA,,,T3,2.0,31.32
COSTO_DEMANDA_INSATISFECHA,,,T3,3.0,49.31
COSTO_DEMANDA_INSATISFECHA,,,T3,4.0,37.94
COSTO_DEMANDA_INSATISFECHA,,,T3,5.0,30.24
COSTO_DEMANDA_INSATISFECHA,,,T3,6.0,44.73
COSTO_DEMANDA_INSATISFECHA,,,T3,7.0,34.27
COSTO_DEMANDA_INSATISFECHA,,,T4,1.0,44.76
COSTO_DEMANDA_INSATISFECHA,,,T4,2.0,25.07
COSTO_DEMANDA_INSATISFECHA,,,T4,3.0,44.02
COSTO_DEMANDA_INSATISFECHA,,,T4,4.0,47.92
COSTO_DEMANDA_INSATISFECHA,,,T4,5.0,33.27
COSTO_DEMANDA_INSATISFECHA,,,T4,6.0,49.35
COSTO_DEMANDA_INSATISFECHA,,,T4,7.0,48.61
COSTO_DEMANDA_INSATISFECHA,,,T5,1.0,25.39
COSTO_DEMANDA_INSATISFECHA,,,T5,2.0,31.84
COSTO_DEMANDA_INSATISFECHA,,,T5,3.0,30.14
COSTO_DEMANDA_INSATISFECHA,,,T5,4.0,40.22
COSTO_DEMANDA_INSATISFECHA,,,T5,5.0,27.77
COSTO_DEMANDA_INSATISFECHA,,,T5,6.0,50.0
COSTO_DEMANDA_INSATISFECHA,,,T5,7.0,31.14
